city,Population
"Royal Oak city, Michigan",59461
"Lancaster city, Pennsylvania",59420
"St. Clair Shores city, Michigan",59409
"Bartlett city, Tennessee",59315
"Springfield city, Ohio",59282
"Des Plaines city, Illinois",58959
"Greenwood city, Indiana",58778
"Gilroy city, California",58756
"San Rafael city, California",58704
"Great Falls city, Montana",58701
"Bowie city, Maryland",58682
"Margate city, Florida",58656
"Corvallis city, Oregon",58641
"Arcadia city, California",58610
"Commerce City city, Colorado",58449
"Orland Park village, Illinois",58312
"Huntington Park city, California",58173
"Santee city, California",58115
"White Plains city, New York",58111
"Dubuque city, Iowa",57941
"Kokomo city, Indiana",57869
"Medford city, Massachusetts",57765
"Sarasota city, Florida",57738
"Weymouth Town city, Massachusetts",57719
"Bradenton city, Florida",57644
"Hendersonville city, Tennessee",57576
"Casper city, Wyoming",57461
"Bonita Springs city, Florida",57370
"Euless city, Texas",57346
"Midwest City city, Oklahoma",57325
"Richland city, Washington",57303
"Taunton city, Massachusetts",57296
"Casa Grande city, Arizona",57232
"St. Peters city, Missouri",57127
"Huntersville town, North Carolina",57098
"Grand Forks city, North Dakota",56948
"Hanford city, California",56910
"Shoreline city, Washington",56752
"Smyrna city, Georgia",56706
"Caldwell city, Idaho",56541
"Valdosta city, Georgia",56426
"Palm Beach Gardens city, Florida",56284
"Diamond Bar city, California",56275
"Pocatello city, Idaho",56266
"Tinley Park village, Illinois",56204
"Leander city, Texas",56111
"New Brunswick city, New Jersey",56100
"Fountain Valley city, California",55814
"Novato city, California",55655
"Parker town, Colorado",55636
"Dearborn Heights city, Michigan",55616
"Chicopee city, Massachusetts",55582
"Oak Lawn village, Illinois",55511
"Carson City, Nevada",55414
"Highland city, California",55406
"Lenexa city, Kansas",55294
"Hempstead village, New York",55255
"Blue Springs city, Missouri",55104
"Kettering city, Ohio",55103
"Lake Havasu City city, Arizona",55090
"Anderson city, Indiana",55037
"Port Arthur city, Texas",55018
"Manhattan city, Kansas",54959
"Southaven city, Mississippi",54944
"Berwyn city, Illinois",54917
"Cathedral City city, California",54902
"West Haven city, Connecticut",54879
"Tigard city, Oregon",54758
"Normal town, Illinois",54742
"Colton city, California",54741
"Stonecrest city, Georgia",54522
"Albany city, Oregon",54453
"Rosemead city, California",54412
"Paramount city, California",54387
"Decatur city, Alabama",54264
"Rocky Mount city, North Carolina",54242
"Mount Prospect village, Illinois",54198
"Brookhaven city, Georgia",54145
"Apple Valley city, Minnesota",54121
"St. Cloud city, Florida",54115
"Kingsport city, Tennessee",54076
"Harrisonburg city, Virginia",54033
"Grapevine city, Texas",53976
"Minnetonka city, Minnesota",53953
"Watsonville city, California",53920
"Leesburg town, Virginia",53917
"Elyria city, Ohio",53881
"Apex town, North Carolina",53852
"Revere city, Massachusetts",53821
"Burlington city, North Carolina",53748
"West Sacramento city, California",53727
"Yucaipa city, California",53682
"Bellevue city, Nebraska",53627
"DeSoto city, Texas",53523
"Apopka city, Florida",53489
"Hoboken city, New Jersey",53455
"Peabody city, Massachusetts",53278
"Palm Desert city, California",53185
"Wheaton city, Illinois",53150
"Milford city (balance), Connecticut",53120
"Pinellas Park city, Florida",53098
"Delano city, California",53014
"West New York town, New Jersey",52990
"Pensacola city, Florida",52713
"Olympia city, Washington",52555
"Edina city, Minnesota",52490
"Elkhart city, Indiana",52367
"Oak Park village, Illinois",52265
"Glendora city, California",52002
"Perth Amboy city, New Jersey",51928
"Burien city, Washington",51908
"Kentwood city, Michigan",51868
"Aliso Viejo city, California",51783
"Summerville town, South Carolina",51692
"Placentia city, California",51671
"Logan city, Utah",51619
"Wylie city, Texas",51585
"La Crosse city, Wisconsin",51567
"Grand Island city, Nebraska",51478
"Coeur d'Alene city, Idaho",51303
"Florissant city, Missouri",51272
"Battle Creek city, Michigan",51247
"Hoffman Estates village, Illinois",51197
"Bentonville city, Arkansas",51111
"Coral Gables city, Florida",50999
"Smyrna town, Tennessee",50775
"Lacey city, Washington",50718
"Methuen Town city, Massachusetts",50698
"Plainfield city, New Jersey",50693
"Joplin city, Missouri",50657
"Collierville town, Tennessee",50616
"Cerritos city, California",50462
"Galveston city, Texas",50457
"Madison city, Alabama",50440
"Stillwater city, Oklahoma",50391
"Little Elm city, Texas",50314
"Lakewood city, Ohio",50100
"Newark city, Ohio",50029
"Maricopa city, Arizona",50024
"Enid city, Oklahoma",49585
"Troy city, New York",49374
"Saginaw city, Michigan",48323
"Niagara Falls city, New York",48144
"Charleston city, West Virginia",47215
